Image,Age,Gender,Race,Emotion,Age Group
anger_-_image0000006.jpg,30,Woman,white,neutral,middle-aged (30-49)
anger_-_image0000060.jpg,34,Man,white,neutral,middle-aged (30-49)
anger_-_image0000061.jpg,44,Man,white,happy,middle-aged (30-49)
anger_-_image0000066.jpg,49,Man,white,sad,middle-aged (30-49)
anger_-_image0000106.jpg,30,Man,black,angry,middle-aged (30-49)
anger_-_image0000132.jpg,32,Woman,white,fear,middle-aged (30-49)
anger_-_image0000138.jpg,26,Man,latino hispanic,neutral,young adult (20-29)
anger_-_image0000182.jpg,28,Man,black,neutral,young adult (20-29)
anger_-_image0000195.jpg,28,Man,white,neutral,young adult (20-29)
anger_-_image0000213.jpg,53,Man,asian,angry,older adult (50-65)
anger_-_image0000228.jpg,25,Man,black,neutral,young adult (20-29)
anger_-_image0000294.jpg,48,Man,latino hispanic,angry,middle-aged (30-49)
anger_-_image0000333.jpg,42,Man,white,surprise,middle-aged (30-49)
anger_-_image0000343.jpg,33,Woman,white,neutral,middle-aged (30-49)
anger_-_image0000346.jpg,34,Man,white,fear,middle-aged (30-49)
anger_-_image0000356.jpg,39,Man,middle eastern,sad,middle-aged (30-49)
anger_-_image0000368.jpg,35,Man,white,sad,middle-aged (30-49)
anger_-_image0000374.jpg,35,Man,asian,neutral,middle-aged (30-49)
anger_-_image0000390.jpg,30,Woman,white,angry,middle-aged (30-49)
anger_-_image0000399.jpg,41,Man,white,sad,middle-aged (30-49)
anger_-_image0000407.jpg,48,Man,white,angry,middle-aged (30-49)
anger_-_image0000415.jpg,26,Man,white,fear,young adult (20-29)
anger_-_image0000416.jpg,31,Man,indian,neutral,middle-aged (30-49)
anger_-_image0000441.jpg,47,Man,white,sad,middle-aged (30-49)
anger_-_image0000450.jpg,28,Man,latino hispanic,angry,young adult (20-29)
anger_-_image0000470.jpg,33,Man,white,neutral,middle-aged (30-49)
anger_-_image0000511.jpg,24,Man,middle eastern,fear,young adult (20-29)
anger_-_image0000513.jpg,35,Man,black,neutral,middle-aged (30-49)
anger_-_image0000593.jpg,56,Man,asian,happy,older adult (50-65)
anger_-_image0000602.jpg,34,Man,latino hispanic,fear,middle-aged (30-49)
anger_-_image0000690.jpg,34,Woman,asian,disgust,middle-aged (30-49)
anger_-_image0000697.jpg,32,Woman,indian,sad,middle-aged (30-49)
